,document_title,question_text,yes_no_answer,short_answer1,short_answer2,short_answer3,short_answer4,short_answer5,short_answer6,short_answer7,short_answer8,short_answer9,short_answer10,short_answer11,short_answer12,short_answer13,short_answer14,short_answer15,short_answer16,short_answer17,short_answer18,short_answer19,short_answer20,short_answer21,short_answer22,short_answer23,short_answer24,short_answer25,short_answer26,short_answer27,short_answer28,short_answer29,short_answer30,short_answer31,short_answer32,short_answer33,short_answer34,short_answer35,short_answer36,short_answer37,short_answer38,short_answer39,short_answer40,short_answer41,short_answer42,short_answer43,short_answer44,short_answer45,short_answer46,short_answer47,short_answer48,short_answer49,short_answer50
0,Computer,what makes a computer a general purpose computer,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Charlie St. Cloud,the life and death of charlie st cloud full movie,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Back to the Future,when does back to the future part 4 come out,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,K. G. Balakrishnan,who is the supreme court judge was a former chief justice of kerala high court,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Konakuppakatil Gopinathan Balakrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Tierra del Fuego,where is the tierra del fuego located on a map,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","off the southernmost tip of the South American mainland , across the Strait of Magellan",the southernmost tip of the South American mainland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Suburbanization,suburbanization of more developed countries is mostly due to,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","Many residents of metropolitan regions work within the central urban area , and choose to live in satellite communities called suburbs and commute to work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Mighty Joe Young (1998 film),where was the movie mighty joe young filmed,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,State of the Union,when is the state of the union addressed,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","as early as January 3 , and as late as February 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Grand Slam men's singles champions,who has won more grand slam titles in tennis,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Roger Federer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Rosary Cathedral (Toledo, Ohio)",our lady queen of the most holy rosary cathedral toledo ohio,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,New Orleans Saints,how many times has the saints won the super bowl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Los Angeles Lakers,when was the last time the los angeles lakers won a championship,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",2010,2010,2010,2010,in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Australia at the 2000 Summer Olympics,how many gold medals did australia win in the 2000 olympics,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",16,16,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Eagle Creek Fire,where is the eagle creek fire located in oregon,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Cascade Locks,Columbia River Gorge,Cascade Locks,45 ° 37 ′ 48 '' N 121 ° 54 ′ 14 '' W ﻿ / ﻿ 45.63 ° N 121.904 °,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cory,different ways to spell corey for a boy,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","Corey , Coire , Corie , Corrie , Curry ( surname ) , Correy , Kory , Khouri , and Kori",Cory,Coire,Corie,Corrie,Correy,Kory,Khouri,Kori,Corey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Should've Been a Cowboy,who sang the song should have been a cowboy,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Toby Keith,American country music artist Toby Keith,Toby Keith,Toby Keith,American country music artist Toby Keith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of counties in Georgia (U.S. state),how many counties does the state of georgia have,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",159,159,159,159 counties,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Origins of the blues,what led to the development of the blues,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Matt Flinders,who sang picking up pebbles and throwing them into the sea,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Matt Flinders,Matt Flinders,Matt Flinders,Matt Flinders ( born Sylvan Louis Bonett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Answered Prayers: The Unfinished Novel,more tears are shed over answered prayers meaning,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of National Basketball Association career free throw scoring leaders,who made the most free throws in nba history,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Karl Malone,Karl Malone,Karl Malone,Karl Malone,Karl Malone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Star Wars: The Last Jedi,is the new star wars movie a remake of the original,"['NO', 'NONE', 'NO', 'NO', 'NO']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99 Flake,where did the name 99 ice cream come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ring finger,which is the ring finger for male in india,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",the left ring finger,left ring finger,on the left ring finger mostly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Donald Duck,what disney cartoon character's middle name is fauntleroy,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Donald Fauntleroy Duck,Donald Duck,Donald Fauntleroy Duck,Donald Fauntleroy Duck,Donald Fauntleroy Duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bernard Hill,who played king theoden in lord of the rings,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Bernard Hill,Bernard Hill,Bernard Hill,Bernard Hill,Bernard Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Shrimp,where does most shrimp in the us come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dark Parables,dark parables return of the salt princess release date,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",BETA game was released in September 2017,September 2017,September 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Outlier,what are the outliers in a data set,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",an observation point that is distant from other observations,an observation point that is distant from other observations,an observation point that is distant from other observations .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Baby, Please Don't Go",baby please don't go down to new orleans song,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nepanagar,where is the industry of news print paper situated,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"South Dakota elections, 2018",who is running for south dakota attorney general,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Lawrence County State 's Attorney John Fitzgerald,Chief Deputy Attorney General Charlie McGuigan,attorney and 2014 U.S. Senate candidate Jason Ravnsborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rock and Roll Hall of Fame,what does it take to get into the rock and roll hall of fame,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","must receive the highest number of votes , and also greater than 50 % of the votes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Walking Tall (1973 film),who was the little girl in walking tall,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cocoa production in Ghana,how much of the world's cocoa comes from ghana,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Trojan Records,who produced the first ever records on the trojan label,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,500 Days of Summer,where was the movie 500 days of summer filmed,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Los Angeles,Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Pune Municipal Corporation,how many municipal corporation are there in pune,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Claire Holt,who played emma in h2o just add water,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Claire Rhiannon Holt,Claire Rhiannon Holt,Claire Rhiannon Holt,Claire Rhiannon Holt,Claire Rhiannon Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2000 Summer Olympics,who said the best game ever for the sydney 2000 olympic game,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon cycle,where can carbon be found in the biosphere,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","in all land - living organisms , both alive and dead , as well as carbon stored in soils","in all land - living organisms , both alive and dead , as well as carbon stored in soils",plants,other living organisms,soil,The terrestrial biosphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Set the World on Fire (Black Veil Brides album),black veil brides set the world on fire rar,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bigg Boss Kannada 5,who is the winner of bigg boss kannada season,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Chandan Shetty,rapper Chandan Shetty,rapper Chandan Shetty,rapper Chandan Shetty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,If a Tree Falls: A Story of the Earth Liberation Front,if a tree falls a story of the earth liberation front (2011),"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Outlaw Josey Wales,where was the outlaw of josey wales filmed,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Lake Powell,Lake Powell,"Kanab , Utah",Utah,Arizona,Wyoming,"Oroville , California",Utah,Arizona,Wyoming,"Oroville , California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Beauty and the Beast (2017 film),who plays the dad in the new beauty and the beast,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Kevin Kline,Kevin Kline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Variable (computer science),name the five descriptive properties associated with each data variable in c++,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,How Do You Solve a Problem like Maria?,sound of music how to solve a problem like maria,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"United States Army Natick Soldier Research, Development and Engineering Center",u.s. army natick soldier research development and engineering center,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lars and the Real Girl,where was lars and the real girl filmed,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","on location in Alton , Elora , King Township , Toronto , Uxbridge , and Whitevale , all located in the Canadian province of Ontario","Alton , Elora , King Township , Toronto , Uxbridge , and Whitevale , all located in the Canadian province of Ontario","Alton , Elora , King Township , Toronto , Uxbridge , and Whitevale , all located in the Canadian province of Ontario",in the Canadian province of Ontario,"Alton , Elora , King Township , Toronto , Uxbridge , and Whitevale , all located in the Canadian province of Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Extinction,what is the most important reason that species are going extinct,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","Explosive , unsustainable human population growth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,North Saskatchewan River,where does the saskatchewan river start and end,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",central Saskatchewan,the Hudson Bay,from the Canadian Rockies continental divide east to central Saskatchewan,"Saskatchewan Glacier , Alberta","Saskatchewan River Forks , Saskatchewan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Don't You Worry Child,where was don't you worry child filmed,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",on location at the group 's final British performance on 14 July 2012 at the National Bowl in Milton Keynes,at the group 's final British performance on 14 July 2012 at the National Bowl in Milton Keynes,on location at the group 's final British performance on 14 July 2012 at the National Bowl in Milton Keynes,on location at the group 's final British performance on 14 July 2012 at the National Bowl in Milton Keynes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bokaro Steel Plant,which country collaborated in the establishment of bokaro and bhilai steel plants,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Spanish Steps,where are the spanish steps located in italy,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Rome,Rome,"a steep slope between the Piazza di Spagna at the base and Piazza Trinità dei Monti , dominated by the Trinità dei Monti church at the top",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sawing a woman in half,how do they cut a person in half trick,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Who's Gonna Fill Their Shoes (song),george jones who's going to fill their shoes,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1 Corinthians 13,chapters in the bible that talk about love,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Saint Paul the First Hermit Cathedral,saint paul the first hermit cathedral mission and vision,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Electro-pneumatic action,how many dc voltage value use in electro-pneumatics,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Believe It or Not (song),who could it be it's just me,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Surah,which surah in the quran has 2 bismillah,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Education,explain the concept of education with its essential features,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Agni Varsha,the fire and the rain summary by girish karnad,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Pint glass,what does the m number mean on a pint glass,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",imperial fluid ounces,the manufacturing company or site,the manufacturing company or site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Islamic architecture,introduction of the arch and dome in the region's architecture,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Free cash flow to equity,cash flow to firm cash flow to equity,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Hydrogen bond,other than water what else has hydrogen bonds,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",inorganic molecules such as water,organic molecules like DNA and proteins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Finale (Seinfeld),what happened in the last episode of seinfeld,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Space Shuttle Challenger disaster,name of launch that blew up on launch pad,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Waiting for a Star to Fall,when boy meets girl waiting for a star to fall,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Skat (card game),trick taking card game name derived from spanish for man,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Skat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Women's empowerment,the need to recognize and empower the girl child wikipedia,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Speaker of the United States House of Representatives,since 1910 how many members are elected to the house of representatives,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Human hair color,what percentage of the population is naturally blonde,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",from 2 % naturally blond to 16 % in the US,the world 's population ranging from 2 % naturally blond to 16 % in the US,2 %,claims of the world 's population ranging from 2 % naturally blond to 16 % in the US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Alpine lake,what is the definition of an alpine lake,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","lakes or reservoirs at high altitudes , usually starting around 5,000 feet ( 1524 metres ) in elevation above sea level or above the tree line","lakes or reservoirs at high altitudes , usually starting around 5,000 feet ( 1524 metres ) in elevation above sea level or above the tree line","lakes or reservoirs at high altitudes , usually starting around 5,000 feet ( 1524 metres ) in elevation above sea level or above the tree line","lakes or reservoirs at high altitudes , usually starting around 5,000 feet ( 1524 metres ) in elevation above sea level or above the tree line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Samhain,the christian church used which holiday to take attention away from samhain,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",All Saints ( or All Hallows ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Harry Potter and the Half-Blood Prince,who is rab in harry potter half blood prince,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Miss America titleholders,when was the last time miss texas won miss america,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",1975,1975,1975,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,We Are the World,who sang first line of we are the world,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Lionel Richie,Stevie Wonder,Paul Simon,Kenny Rogers,James Ingram,Tina Turner,Billy Joel,Lionel Richie,Stevie Wonder,Paul Simon,Kenny Rogers,James Ingram,Tina Turner,Billy Joel,Lionel Richie,Stevie Wonder,Paul Simon,Kenny Rogers,James Ingram,Tina Turner,Billy Joel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,History of Maryland,who formed and first came to the colony of maryland,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",the English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,History of Maharashtra,history of india (with special reference to maharashtra),"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Visa requirements for Kenyan citizens,visa on arrival for indian passport holders in kenya,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Masters Tournament,who has played in the most masters tournaments,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Gary Player,Gary Player,Gary Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Suits episodes,when is the next suits episode coming out,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,King cobra,how much venom can a king cobra produce,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",up to 7 ml,420 mg,200 to 500 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cammie King,rhett butler's daughter in gone with the wind,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Eleanore Cammack `` Cammie '' King,Eleanore Cammack `` Cammie '' King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green party,which of the following is not part of the philosophy of the green house,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2018 FIFA World Cup qualification,teams that can qualify for world cup 2018,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,FA Cup,last team to win fa cup outside top flight,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Arsenal,West Ham United,West Ham United,West Ham United ( 1980 ),West Ham United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of most-liked Instagram pictures,whats the most liked picture on instagram 2018,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",the name announcement of Kylie Jenner 's first child,the name announcement of Kylie Jenner 's first child,the name announcement of Kylie Jenner 's first child,the name announcement of Kylie Jenner 's first child,the name announcement of Kylie Jenner 's first child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Prohibition in the United States,where did you go to drink during prohibition,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Speakeasies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Edinburgh Festival Fringe,where does the edinburgh fringe festival take place,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","in Edinburgh , Scotland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Elimination Chamber (2018),who won the wwe championship elimination chamber 2018,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Roman Reigns,Roman Reigns,Roman Reigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ratchet & Clank,when does the next ratchet and clank come out,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Safe Haven (novel),where does safe haven take place in the book,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","Southport , North Carolina","Southport , North Carolina","Southport , North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Baby boomers,who came up with the term baby boomer,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",The Washington Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Vernee Watson-Johnson,who played kathleen on fresh prince of bel air,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"United States presidential election, 1928",who was elected president of the united states in 1928,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Herbert Hoover,Herbert Hoover,Herbert Hoover,Republican Secretary of Commerce Herbert Hoover,Herbert Hoover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,How the Grinch Stole Christmas!,dogs name in the grinch who stole christmas,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Max,Max,Max,Max,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Anne (TV series),who played anne in anne with an e,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Amybeth McNulty,Amybeth McNulty,Amybeth McNulty,Amybeth McNulty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,One Thing Leads to Another,who sings the song one thing leads to another,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",new wave rock band The Fixx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Southwestern United States,resources of the west region of the united states,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Timeline of United States history (1900–29),what was going on in the world in 1900,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",U.S. population exceeds 75 million,Boxer Rebellion,Galveston hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
