,document_title,question_text,yes_no_answer,short_answer1,short_answer2,short_answer3,short_answer4,short_answer5,short_answer6,short_answer7,short_answer8,short_answer9,short_answer10,short_answer11,short_answer12,short_answer13,short_answer14,short_answer15,short_answer16,short_answer17,short_answer18,short_answer19,short_answer20,short_answer21,short_answer22,short_answer23,short_answer24,short_answer25,short_answer26,short_answer27,short_answer28,short_answer29,short_answer30
0,American Civil War,who took part in the american civil war,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",nationalists of the Union,"secessionists of the Confederate States , who advocated for states ' rights to expand slavery",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cartilaginous joint,all types of joints allow for the same range of motion,"['NONE', 'NONE', 'NONE', 'NONE', 'NO']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"The Source Presents: Hip Hop Hits, Vol. 4",the source presents hip hop hits vol. 4 songs,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Passion of the Christ,when do subtitles start in the passion of the christ,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Flag of India,when was the national flag of india adopted,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",during a meeting of the Constituent Assembly held on 22 July 1947,22 July 1947,22 July 1947,22 July 1947,15 August 1947,,,,,,,,,,,,,,,,,,,,,,,,,
0,What Christmas Means to Me,stevie wonder that's what christmas means to me,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,New Kingdom of Egypt,what was the most important new religious figure of the new kingdom of ancient egypt,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","the Aten , a representation of the Egyptian god , Ra",Aten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Education in Bangladesh,paragraph the problem of higher education in bangladesh,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Chernobyl disaster,what happened at the chernobyl nuclear power plant,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Movable type,who is often associated with printing the first book using moveable type in germany,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Johannes Gutenberg,Johannes Gutenberg,Johannes Gutenberg,Johannes Gutenberg,Johannes Gutenberg,,,,,,,,,,,,,,,,,,,,,,,,,
0,My Life (Billy Joel song),who sang the song angel of my life,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Electrical conduction system of the heart,when does the sa node begin electrical signaling,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",spontaneously,spontaneously generated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Traveling Wilburys,who are the artists in the traveling wilburys,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Bob Dylan,George Harrison,Jeff Lynne,Roy Orbison,Tom Petty,Bob Dylan,George Harrison,Jeff Lynne,Roy Orbison,Tom Petty,Bob Dylan,George Harrison,Jeff Lynne,Roy Orbison,Tom Petty,Bob Dylan,George Harrison,Jeff Lynne,Roy Orbison,Tom Petty,Bob Dylan,George Harrison,Jeff Lynne,Roy Orbison,Tom Petty,,,,,
0,300: Rise of an Empire,who plays artemisia in 300 rise of an empire,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Eva Green,Eva Green,Caitlin Carmichael,Jade Chynoweth,Eva Green,Caitlin Carmichael as 8 - year - old Artemisia,Jade Chynoweth as 13 - year - old Artemisia,Eva Green,Caitlin Carmichael as 8 - year - old Artemisia,Jade Chynoweth as 13 - year - old Artemisia,,,,,,,,,,,,,,,,,,,,
0,List of most streamed songs on Spotify,who is the most played artist on spotify,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Ed Sheeran,Ed Sheeran,Justin Bieber,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cell damage,which term describes the replacement of damaged cells to mend a tissue,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Stromal cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ploidy,where are haploid cells found in the human body,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",sperm,ova,sperm or egg cells,gametes ( sperm or egg cells ),,,,,,,,,,,,,,,,,,,,,,,,,,
0,As the Palaces Burn,lamb of god as the palaces burn album,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Earth,form from material that has accumulated on the earths surface,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Sedimentary rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Opposition with Jordan Klepper,where is the opposition with jordan klepper filmed,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","Hotel Pennsylvania , New York City","Hotel Pennsylvania , New York City","Hotel Pennsylvania , New York City",,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Olivia (Twelfth Night),how does olivia secure the love of the man she believes to be cesario,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",by using various tricks and problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,New York Giants,when is the last time the new york giants won the super bowl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",( 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Step Up (franchise),when is the next step up movie coming out,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Robber baron (industrialist),nickname given to railroad executives due to shady practices of their businesses,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Robber Barons,Robber baron,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Jan Carew,who is the main character in black midas,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bobby Anderson (actor),who is young george bailey in it's a wonderful life,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Robert James Anderson,Robert James Anderson,Robert James Anderson,Robert James Anderson,Robert James Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
0,Battle of Stirling Bridge,who won the battle of stirling bridge 1297,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",the forces of Andrew Moray and William Wallace,Scottish victory,Andrew Moray,William Wallace,the forces of Andrew Moray and William Wallace,,,,,,,,,,,,,,,,,,,,,,,,,
0,Daddy's Home 2,who plays dylan in daddy's home 2,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Owen Vaccaro,Owen Vaccaro,Owen Vaccaro,Owen Vaccaro,Owen Vaccaro,,,,,,,,,,,,,,,,,,,,,,,,,
0,Powers of the United States Congress,which is not a power of the united states congress,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Tablets of Stone,where is the tablet of the ten commandments,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",in the Ark of the Covenant,Ark of the Covenant,in the Ark of the Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Chinatown bus lines,where does the chinatown bus stop in nyc,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Forsyth Street at the foot of the Manhattan Bridge in the Little Fuzhou neighborhood within Manhattan 's Chinatown,the sidewalk between Division Street and East Broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Right to Buy,when did the right to buy scheme start,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",1980,1980,1980,1980,1980,,,,,,,,,,,,,,,,,,,,,,,,,
0,Card security code,what is a cvv code on a visa gift card,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",a security feature for `` card not present '' payment card transactions instituted to reduce the incidence of credit card fraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Barry & the Tamerlanes,i wonder what she's doing tonight barry and the tamerlanes,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intramural sports,what is the difference between intramural and interscholastic sports,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Shot glass,how many ounces in one shot of liquor,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",1.25 -- 1.5 US fl oz ( 37 -- 44 ml ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,See You in September,who sang will i see you in september,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",the Pittsburgh vocal group The Tempos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Coinage of India,who issued gold coins for the first time in india,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Gupta Empire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Perfect 10 (gymnastics),highest olympic female score on the vault in the olympics,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"List of players who have scored 10,000 or more runs in One Day International cricket",how many players have scored 10000 runs in odi,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",11,eleven,eleven,11,,,,,,,,,,,,,,,,,,,,,,,,,,
0,New Jersey Drive,what is the movie new jersey drive about,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","joy riding black teenagers in 1990s Newark , New Jersey","joy riding black teenagers in 1990s Newark , New Jersey","joy riding black teenagers in 1990s Newark , New Jersey , then known as the `` car theft capital of the world ''",,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Telephone numbers in the United Kingdom,what do mobile numbers start with in the uk,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Visa requirements for Ghanaian citizens,do ghanaians need visa to go to singapore,"['NO', 'NO', 'NO', 'NO', 'NO']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Formula One Grand Prix winners,who has won the most f1 grand prix,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Michael Schumacher,Michael Schumacher,Michael Schumacher,Michael Schumacher,Michael Schumacher,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rajya Sabha,who is the present rajya sabha speaker of india,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Venkaiah Naidu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2018 Winter Olympics,what are all the teams in the winter olympics,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Keeping Up with the Kardashians episodes,latest series of keeping up with the kardashians,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Keeping up with the Joneses,where does the saying keeping up with the jones come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",the comic strip Keeping Up with the Joneses,the comic strip Keeping Up with the Joneses,the comic strip Keeping Up with the Joneses,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Laura Haddock,who plays meredith quill in guardians of the galaxy 2,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Laura Jane Haddock,Laura Jane Haddock,Laura Jane Haddock,Laura Jane Haddock,Laura Jane Haddock,,,,,,,,,,,,,,,,,,,,,,,,,
0,Human trafficking in South Africa,identify any three causes of human trafficking in south africa,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,A Country Wedding,where was hallmark movie a country wedding filmed,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Jonathan Cheban,who is the guy on keeping up with the kardashians,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Jonathan Cheban,Jonathan Cheban,Jonathan Cheban,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of National Football League career receptions leaders,who has the most catches in nfl history,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Jerry Rice,Jerry Rice,Jerry Rice,Jerry Rice,Jerry Rice,,,,,,,,,,,,,,,,,,,,,,,,,
0,Main sequence,how does a star become a main sequence,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Englishman who Went up a Hill but Came down a Mountain,locations for the film an englishman who went up a hill,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Llanrhaeadr - ym - Mochnant and Llansilin in Powys,Llanrhaeadr - ym - Mochnant and Llansilin in Powys,Llanrhaeadr - ym - Mochnant,Llansilin in Powys,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Peach Blossom Fan,where does hou safely hide after escaping jail,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Chota Nagpur Division,when did bihar bifurcate from bengal and some parts of chota nagpur merged into bengal,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",1912,1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Mount Ruapehu,when was the last time mount ruapehu erupted,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",At about 8 : 20 p.m. on 25 September 2007,25 September 2007,25 September 2007,25 September 2007,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Andhra Pradesh State Handloom Weavers Cooperative Society,the andhra pradesh state handloom weavers' cooperative society limited hyderabad telangana,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Knocking on wood,where did expression knock on wood come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Beauty and the Beast (2017 film),where was 2017 beauty and the beast filmed,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","Shepperton Studios in Surrey , United Kingdom","Shepperton Studios in Surrey , United Kingdom","Shepperton Studios in Surrey , United Kingdom","Surrey , United Kingdom","Shepperton Studios in Surrey , United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,
0,California Insurance Commissioner,what proposition made the insurance commissioner an elected position,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Proposition 103,Proposition 103,Proposition 103,Proposition 103 in 1988,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of first overall NBA draft picks,who has the number one pick in nba draft,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Game seven,where is the 7th game of the world series played,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",at the site of the team holding the home advantage across the series,generally played at the site of the team holding the home advantage across the series,the site of the team holding the home advantage across the series,at the site of the team holding the home advantage across the series,"Dodger Stadium , Los Angeles",,,,,,,,,,,,,,,,,,,,,,,,,
0,Birth certificate,birth certificates are most often completed by the department,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",the Vital Records Office of the states,Department of Health and Human Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Freedom of the seas,who did the united states not have problems with on the high seas,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,This Is the Way It Goes and Goes and Goes,juno this is the way it goes and goes and goes,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Round Table Conferences (India),who attended all the three round table conferences,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Valley of the Dolls,who is the valley of the dolls based on,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Judy Garland,Carole Landis,Dean Martin,Ethel Merman,Judy Garland,Carole Landis,Dean Martin,Ethel Merman,Judy Garland,Carole Landis,Dean Martin,Ethel Merman,Judy Garland,Carole Landis,Dean Martin,Ethel Merman,,,,,,,,,,,,,,
0,Widget (beer),why is there a ball in guinness beer,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",to manage the characteristics of the beer 's head,to manage the characteristics of the beer 's head,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Transfer RNA,what is the function of trnas in protein synthesis,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",serves as the physical link between the mRNA and the amino acid sequence of proteins,to specify which sequence from the genetic code corresponds to which amino acid,carrying an amino acid to the protein synthetic machinery of a cell ( ribosome ) as directed by a three - nucleotide sequence ( codon ) in a messenger RNA ( mRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bobbie Brown,who is the girl in the once bitten twice shy video,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Paul Hogan,who was the actor who played crocodile dundee,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Paul Hogan,Paul Hogan,Paul Hogan,"Paul Hogan , AM",Paul Hogan,,,,,,,,,,,,,,,,,,,,,,,,,
0,Michelle (song),who was the song michelle by the beatles written for,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Myofascial trigger point,where are trigger points located in the body,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",in the fascia surrounding skeletal muscle,in the fascia surrounding skeletal muscle,muscles,hyperirritable spots in the fascia surrounding skeletal muscle,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dye,in industry the ph of a solution used to dye cloth must be controlled,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2007 ICC World Twenty20,who bowled the last over of the 2007 world twenty20 that india won,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ambulatory care,ambulatory is a term used in health care to describe,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","medical care provided on an outpatient basis , including diagnosis , observation , consultation , treatment , intervention , and rehabilitation services","medical care provided on an outpatient basis , including diagnosis , observation , consultation , treatment , intervention , and rehabilitation services","medical care provided on an outpatient basis , including diagnosis , observation , consultation , treatment , intervention , and rehabilitation services",,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Canada at the Olympics,when are the olympics going to be in canada,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Egypt Eyalet,who was the ottoman governor who led egypt in the years following the napoleonic wars,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Isma'il Pasha and Tewfik Pasha,Husrev Pasha,Husrev Pasha,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Foreign policy of the United States,what role does the president play in foreign affairs,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",negotiates treaties with foreign nations,Commander in Chief of the United States Armed Forces,Both the Secretary of State and ambassadors are appointed by the President,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,North America,what are the countries located in north america,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Boundary (cricket),who hit 6 sixes in an over in test cricket,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Ravi Shastri,Garfield Sobers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,History of the Philadelphia Eagles,how long has it been since eagles went to super bowl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Goods and Services Tax (India),when does the 15 vat come into effect,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Independence Day (United States),who did the united states win its independence from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",the British Empire,the British Empire,Great Britain,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,,,
0,America's Next Top Model (cycle 8),who won season 8 of america's next top model,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","20 - year - old Jaslene Gonzalez from Chicago , Illinois",Jaslene Gonzalez,Jaslene Gonzalez,Jaslene Gonzalez,Jaslene Gonzalez,,,,,,,,,,,,,,,,,,,,,,,,,
0,Binary star,the faster moving star in a binary is,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sam Rockwell,who plays justin hammer in iron man 2,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dance Champions,who got eliminated in dance champions 29 october 2017,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Public holidays in the United Kingdom,day off in lieu of public holiday uk,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Reserve Bank of India,how many branches of reserve bank of india in india,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",20 regional offices and 11 sub-offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,History of scientific method,who was an early advocate for using scientific methods based on inductive reasoning,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",René Descartes,Aristotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Hilton Worldwide,how many hilton hotels are there in the uk,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,British Indian Association,the first political society started under british rule in india was,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",The British Indian Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Chromosomal crossover,when does crossing over occur and why is it important,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",pachytene stage of prophase I of meiosis,the pachytene stage of prophase I of meiosis during a process called synapsis,the exchange of genetic material between homologous chromosomes that results in recombinant chromosomes during sexual reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Immanuel Wallerstein,when did the modern world system approximately end,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Tricyclic antidepressant,what is an example of a tricyclic antidepressant,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Amineptine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bacterial cell structure,please give a brief description of the 7 major structures of a bacteria cell,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Mark of the Year,who won mark and goal of the year 2017,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Joe Daniher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of suspensions in the National Football League,who has been fined the most in the nfl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lucky Charms,how many lucky charms marshmallows are in one box,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Time in Australia,why are there different time zones in australia,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rising Star India (season 2),who will get ticket to finale in rising star 2,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Hemant Brijwasi,Hemant Brijwasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,San Siro,inter milan and ac milan share the same stadium,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Thomas J. Watson,who said i think there is a world market for maybe five computers,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Visa policy of the United Kingdom,list of countries that can enter uk without visa,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Philadelphia Eagles,when's the last time philly won the superbowl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",2017,2017,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Pop music,where does the term pop music come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",`` originated in Britain in the mid-1950s as a description for rock and roll,Britain,Britain in the mid-1950s as a description for rock and roll and the new youth music styles that it influenced,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Friday the 13th,where does the friday the 13th superstition come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,It's a Wonderful Life,what's written in the book at the end of it's a wonderful life,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Kitty (song),the presidents of the united states of america - kitty,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Life, Liberty and the pursuit of Happiness",is the right to life liberty and the pursuit of happiness in the constitution,"['NONE', 'NO', 'NONE', 'NO', 'NO']","Chapter III , Article 13 of the 1947 Constitution of Japan",The Fifth Amendment and Fourteenth Amendment to the United States Constitution,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Slave Trade Act 1807,who abolished slave trade in nigeria and in what year,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Oath of office of the Vice President of the United States,who administers the oath of office to the vice president,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Albatross (metaphor),the rime of the ancient mariner albatross symbolism,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",a burden to be carried as penance,omen of good or bad luck,a metaphor for a burden to be carried as penance,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senate of Canada,what is the role of a canadian senator,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Master-at-arms,where can a master at arms be stationed,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Raghuvanshi,who became the king of ayodhya after ram,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Kusha,Kusha,Kusha,Kusha,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Yuvraj Singh,yuvraj singh man of the match in ipl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of recurring characters in The Suite Life of Zack & Cody,sweet life of zack and cody crazy girl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,A Head Full of Dreams,what is head to head in dream 11,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rennes,what is the most famous building in rennes,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Parlement de Bretagne,"The Parlement de Bretagne ( Administrative and judicial centre of Brittany , Breton : Breujoù Breizh )",The Parlement de Bretagne,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Competitive intelligence,differentiate competitor intelligence competitive intelligence and business intelligence,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
